Name,Address,Latitude,Longitude,Phone,Rating,Opening Hours
"ILLY CAFE XPRESS (COFFEE, SNACKS, RESTAURANT AND BAKERY)","155 Ikot Ekpene - Uyo Rd, 520101, Uyo, Akwa Ibom, Nigeria",5.0412271,7.910083699999999,,4,
Mc Giraffe Cyber Cafe,"59 Ikot Ekpene - Uyo Rd, 520103, Uyo, Akwa Ibom, Nigeria",5.037166199999999,7.921528,,3.8,"['Monday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: Closed']"
Easycyber.net,"Uniuyo, 2WQ7+34F, 080650, Uyo, Akwa Ibom, Nigeria",5.037693600000001,7.9127845,0806 501 3995,,
Thegivers coffee,"University of Uyo, mini-stadium, 520101, Uyo, Akwa Ibom, Nigeria",5.037693600000001,7.9127845,0816 527 9706,,"['Monday: 7:00\u202fAM\u2009–\u20096:30\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20096:30\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20096:30\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20096:30\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20096:30\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20096:30\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20096:30\u202fPM']"
Fitz.ng,"Impulze Playhouse, Maitama Roundabout, Ewet Housing Estate 520001, Uyo, Akwa Ibom, Nigeria",5.0209017,7.942776899999999,0808 244 7902,4.8,"['Monday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']"
Bet9ja Shop,"2V58+29F, 522110, Uyo, Akwa Ibom, Nigeria",5.007570999999999,7.865908999999999,,2.8,
Discovery Cafe,"Ibom Plaza, 520102, Uyo, Akwa Ibom, Nigeria",5.0337357,7.928280300000002,0802 324 6210,,"['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
Fresh and Grinz café,"5 Inim Etuk Akpan Street, 520102, Uyo, Akwa Ibom, Nigeria",5.022207799999999,7.924267499999998,0806 617 4979,4.7,"['Monday: 8:00\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']"
Falex International,"By Ibom Plaza, 7 Abak Rd, 520102, Uyo, Akwa Ibom, Nigeria",5.020569399999999,7.889838900000001,0703 495 5631,,"['Monday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:30\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 12:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u20092:30\u202fPM', 'Sunday: Closed']"
29 Asuquo Ibanga Street,"2XJG+M58, University of Uyo Rd, 520101, Uyo, Akwa Ibom, Nigeria",5.0316684,7.9754682,0703 210 5949,3.3,
